Genus,Herbarium,collection,species,leaf_tot,juga,stip_dist,stip_scar_length,pet_length,lateral_petiolules,basal_petiolule ,termil_petiolule,acumen_length,basal_lft_L,basal_lft_W,basal_L_widest_point,lateral_lft_L ,lateral_lft_W,lateral_L_widest_point,termil_lft_L,termil_lft_W,termil_L_widest_point,2o_vein_pairs
Canarium,NYBG,GR296,pulchrebracteatum,190.29,4,7.59,2.92,37.77,5.72,5.43,17.32,6.07,45.65,31.9,24.7,68.5,31.18,38.4,97.06,43.97,62.77,10
Canarium,NYBG,GR296,pulchrebracteatum,290.52,4,8.73,3.28,50.49,11.32,9.43,34.99,9.12,62.03,45.51,33.3,128.05,36.05,28.69,72.66,19.76,40.12,9
Canarium,NYBG,TT64,pulchrebracteatum,192.54,3,2.8,1.88,38.68,8.65,6.25,23.04,3.63,34.65,20.99,19.48,80.46,26.78,46.98,75.31,27.91,33.65,8
Canarium,NYBG,TT64,pulchrebracteatum,200.92,1,1.13,1.6,58.91,10.63,,33.47,3.8,73.33,33.46,41.65,,,,101.73,55.85,72.28,8
Canarium,NYBG,TT64,pulchrebracteatum,319.9,4,2.73,1.14,54.85,10.99,7.75,32.85,5.5,58.34,38.59,34.68,82.05,28.21,45.59,112.52,44.47,67.99,8
Canarium,NYBG,D14528,pulchrebracteatum,272.4,4,10.44,2.91,53.74,12.26,7.56,31.74,6.5,33.39,26.75,15.85,102.06,35.77,63.76,80.3,31.57,48.72,11
Canarium,NYBG,D14528,pulchrebracteatum,308.47,4,11.3,2.49,63.32,13.21,11.24,43.13,7.5,39.07,26.13,19.2,118.27,39.36,66.15,99.38,43.85,61.43,10
Canarium,NYBG,D14528,pulchrebracteatum,212.85,4,10.8,3.58,42.58,11.22,8.56,23.49,8.5,32.71,24.19,17.12,52.37,26.59,31.92,58.78,31.58,38.57,10
Canarium,NYBG,SF276,pulchrebracteatum,304.69,3,18,2.46,77.45,13.49,8.72,33.04,6.97,51.67,28.84,31.93,85.88,33.52,54.51,79.72,44.82,49.73,9
Canarium,NYBG,SF276,pulchrebracteatum,262.21,3,25.68,2.82,71.98,11.63,7.97,30.59,6.11,54.08,33.61,20.39,86.32,42.06,50.86,84.38,43.28,52.9,7
Canarium,NYBG,SF286,pulchrebracteatum,300.66,3,29.16,2.75,73.97,17.75,13.19,29.05,6,52.41,42.73,26.74,72.51,50.33,31.71,93.38,50.16,41.13,9
Canarium,NYBG,SF286,pulchrebracteatum,276.04,3,25.98,2.75,71.49,16.86,10.27,41.4,6.98,41.3,37.03,24.02,93.13,54.2,53.32,74.18,43.66,46.89,8
Canarium,NYBG,D13075,scholasticum,247.39,3,3.17,2.88,41.28,12.89,,35.78,4.02,,,,84.31,43.12,48.56,81.66,44.8,42.99,13
Canarium,NYBG,D13075,scholasticum,377.53,3,6.67,3.15,93.92,18.39,12.4,45.01,2.32,97.52,56.38,35.51,133.58,64.27,72.44,143.37,62.21,77.93,13
Canarium,NYBG,PA5536,scholasticum,244.35,4,9.58,3.84,54.93,7.83,4.7,25.37,4.79,35.05,28.21,17.07,71.58,39.49,41.04,40.18,33.41,34.86,13
Canarium,NYBG,PA5536,scholasticum,109.95,3,2.4,2.17,23.21,8.77,6.05,15.25,2.12,24.52,22.6,10.35,41.02,28.48,25.95,44.13,27.66,21.72,14
Canarium,NYBG,D13043,scholasticum,238.75,4,12.22,2.28,46.75,8.78,6.11,22.23,8.08,57.01,29.06,18.52,105.74,40.95,33.15,90.45,42.56,49.51,14
Canarium,NYBG,D13054,scholasticum,219.81,3,7.85,1.98,49.13,13.07,,28.1,4.26,,,,70.04,34.59,27.22,63.88,35.45,30.88,12
Canarium,NYBG,D13054,scholasticum,182.23,3,3.52,2.4,45.68,11.18,7.07,12.35,3.03,37.5,26.13,23.43,62.44,29.81,38.16,71.55,28.25,43.16,13
Canarium,NYBG,D13054,scholasticum,267.66,4,8.49,2.08,69.87,16.16,9.4,25.76,6.1,58.17,40.59,22.31,82.46,37.77,49.58,84.24,31.59,51.9,13
Canarium,NYBG,SF197,scholasticum,247.68,3,10.58,3.78,62.8,9.17,7.18,35.52,4.58,37.07,30.34,22.77,74.96,42.75,45.65,80.71,58.76,52.68,11
Canarium,NYBG,SF197,scholasticum,217.95,3,8.79,3.34,50.17,7.45,5.1,28.54,4,38.39,37.5,18.26,75.34,39.7,46.38,70.37,46.25,49.52,11
Canarium,NYBG,SF197,scholasticum,262.02,4,11.07,2.51,59.2,10.47,5.13,20.33,3.16,45.98,36.46,26.34,84.22,51.36,57.01,70.33,46.62,46.66,12
Canarium,NYBG,DM1,velutinifolium,308.24,4,12.84,1.99,88.51,7.76,5.63,19.26,6.88,82.75,54.3,31.75,121.92,57,37.42,109.51,48.98,37.63,18
Canarium,NYBG,DM1,velutinifolium,300.41,5,12.24,1.82,62.79,7.52,5.59,17.3,5.66,71.61,29.35,20.03,98.5,49.25,42.56,96.83,49.94,36.46,17
Canarium,NYBG,CB1969,velutinifolium,389.48,5,8.04,3.67,68.83,8.26,6.77,11.42,6.92,54.38,65.51,25.53,143.07,82.09,75.66,149.95,73.22,65.99,22
Canarium,NYBG,D14504,velutinifolium,337.8,6,11.3,3,74.38,9.62,7.2,20.63,7.76,37.96,39.96,21.05,91.34,56.27,55.33,70.33,37.85,42.32,16
Canarium,NYBG,D14504,velutinifolium,348.4,7,18.82,2.73,59.09,9.55,3.8,15.55,9.3,32.22,22.45,16.32,80.53,50.72,48.54,80.82,43.79,31.45,18
Canarium,NYBG,D14504,velutinifolium,282.85,5,7.49,2.74,63.99,6.64,4.97,18.73,5.85,41.51,30.2,15.76,74.06,39.24,28.32,60.22,28.48,31.14,16
Canarium,NYBG,D14505,velutinifolium,556.58,10,9.66,3.76,81.9,4.01,6.84,21.18,10.03,59.82,49.84,32.88,140.06,56.35,55.35,138.92,65.46,56.38,19
Canarium,NYBG,D14505,velutinifolium,341.06,6,9.36,2.23,46.03,7.52,4.49,25.01,13.28,42.18,32.18,26.34,109.12,52.58,34.65,119.73,63.29,75.32,16
Canarium,NYBG,D14506,velutinifolium,558,8,12.01,4.24,104.05,12.43,13.78,31.17,13.1,67.68,49.82,38.47,166.23,48.68,46.2,123,58.99,60.02,21
Canarium,NYBG,D14506,velutinifolium,462.82,7,9.6,3.26,87.02,14.65,14.26,30.17,17.31,65.94,48.94,21.4,193.07,74.05,77.12,129.78,46.14,75.81,20
Canarium,NYBG,D14506,velutinifolium,583.12,6,13.4,3,84.32,19.12,12.49,44.31,14.02,65.92,43.18,27.8,222.91,88.29,75.71,213.6,80.34,88.2,20
