Genus,Herbarium,collection,species,leaf_tot,juga,stip_dist,stip_scar_length,pet_length,lateral_petiolules,basal_petiolule ,termil_petiolule,acumen_length,basal_lft_L,basal_lft_W,basal_L_widest_point,lateral_lft_L ,lateral_lft_W,lateral_L_widest_point,termil_lft_L,termil_lft_W,termil_L_widest_point,2o_vein_pairs
Canarium,NYBG,SF18.219,boivinii,228.25,5,4.79,1.52,53.32,9.86,6.94,21.14,5.35,49.1,20.51,18.4,89.03,22.42,29.95,,21.34,36.98,13
Canarium,NYBG,SF18.219,boivinii,228.46,5,3.93,2.09,37.3,12.02,6.3,20.59,5.29,53.21,21.1,20.1,92.58,22.72,31.58,,22.14,31.58,12
Canarium,NYBG,D13090,compressum,257.74,6,6.65,2.79,46.82,10.53,7.7,21.54,11.13,44.15,22,14.64,71.7,30.52,17.42,77.05,32.72,24.33,14
Canarium,NYBG,D13090,compressum,622.64,8,15.84,5.21,121.28,25.43,19.08,36.44,25.36,,,,169.1,44.09,35.19,145.21,55.69,39.51,18
Canarium,NYBG,D13097,compressum,574.42,7,17.01,5.38,102.94,18.85,11.66,51.98,11.67,63.26,45.88,19.45,176.63,64.28,40.56,122.74,61.15,37.69,15
Canarium,NYBG,D13093,compressum,302.57,5,12.04,2.29,61.33,13.13,7.72,23.72,9.99,74.58,47.32,17.37,120.54,44.74,22.94,121.93,46.78,36.46,14
Canarium,NYBG,D13093,compressum,359.62,5,13.86,2.76,51.6,9.43,11.12,31.59,12.81,48.51,34.22,15.61,94.2,36.46,23.3,103.35,36.19,30.5,13
Canarium,NYBG,GES3117,compressum,396.52,5,12.43,3.45,71.63,9.77,8.7,49.1,12.73,65.02,38.79,17.62,174.1,57.4,61.75,154.09,65.23,59.1,18
Canarium,NYBG,GES3117,cmpressum,379.97,5,5.12,3.65,71.65,9.51,7.5,42.02,12.58,74.95,40.66,19.22,160.1,59.44,51.09,174.1,78.28,64.23,18
Canarium,NYBG,CR827,compressum,293.61,4,0,5.52,68.1,8.34,8.95,29.65,14.16,74.05,42.75,18.12,105.29,45.09,38.13,108.73,48.61,40.01,19
