Indiv
Species	leaf_tot	juga	leaf_juga_ratio	stip_dist	stip_scar_length	pet_length	petiole_stip_ratio	lateral_petiolules	basal_petiolule	termil_petiolule	acumen_length	basal_lft_L	basal_lft_W	basal_L_widest_point	bl_bw_ratio	bl_wp_ratio	lateral_lft_L	lateral_lft_W	lateral_L_widest_point	ll_lw_ratio	ll_wp_ratio	termil_lft_L	termil_lft_W	termil_L_widest_point	tl_tw_ratio	tl_wp_ratio	X2o_vein_pairs
D14482	B	1.65969663762	0.154792357088	1.72212345221	-1.09257615748	1.53291991592	1.39581213134	4.66966141399	0.897022701777	0.93840752873	0.204151928595	-0.469881231318	1.02067173228	2.00671647828	2.26332600644	-1.03332449746	-0.788450136692	1.9393264964	2.14954384152	3.66730136608	-0.392365259351	-0.392365259351	2.70554505978	2.16754622607	3.08154659327	0.497005156839	-0.186222777188	1.82376664785
D14483	B	2.11873266424	1.0798536402	0.843054377681	-0.753893130432	2.07781497847	1.11235607458	0.972630001317	0.323375643361	-0.367359000059	-0.434432863987	-0.0294078248929	0.778334472334	2.0868599133	1.88554586584	-1.30193850168	-0.788450136692	1.33404368532	2.42143499266	0.558576087569	-1.04789705177	-1.04789705177	1.00180485607	2.0168599121	0.837279343951	-0.948604904289	0.173179936762	2.00832336425
D14504	C	-0.129294221835	0.525924728158	-0.860316594445	-0.109336994582	0.0721374078079	-0.0710041623657	-0.201329464492	-0.887136720725	-0.919564004057	-1.20274766697	0.0298371362052	-0.972061006569	-0.295737623477	-0.908396468914	-1.08704729831	-0.288528811631	-0.66646730046	0.480602108857	-0.133869960413	-1.48491824672	-1.48491824672	-0.735003961419	-0.381282367119	-0.905939566545	-0.739371869125	0.285493284871	0.815591152276
D14505	C	0.918740844383	1.63378255225	-0.746311450641	-0.430027485818	0.280820623252	-0.15585751269	-0.11302918408	-1.54975760861	-0.812784030908	-0.665933830825	1.06533602148	-0.220488017966	0.55077740886	0.70871996025	-1.06018589789	-0.944675550773	0.514984856214	0.865277737505	-0.0716424952979	-0.564052157366	-0.564052157366	0.928884323128	1.48844422815	0.838409103452	-0.606223574021	0.240567945628	1.04422111439
D14506	C	1.63378734465	1.0798536402	0.451860256786	-0.201416442561	0.860496221708	1.12061207624	0.0751517413891	0.70502654345	1.57908736762	0.689521105443	1.87673440174	0.626054977911	1.07671870114	0.655722026857	-0.657264891563	0.133279806388	2.44146445832	1.93068824826	1.34105336167	0.309990232526	0.309990232526	1.66741669743	1.31545904261	1.33719792327	0.363856861736	0.307955954493	1.82376664785
D14477	D	1.31637767833	0.525924728158	0.73743196504	-0.104045072285	0.199666039468	0.458755943711	-0.192644191009	1.5573021731	1.57603651125	1.8235403343	0.3157584702	-0.0458305333237	-0.309929690094	0.161074648525	0.390329724875	-0.319773894448	1.00963649844	0.379230346334	1.04116993936	0.544108729819	0.544108729819	0.828265293181	0.364040522139	1.15813104232	0.592111081914	-0.365924134162	0.815591152276
D14478	D	0.0882272056606	-0.581933095931	0.987796202413	0.0346032919127	0.44312979082	-0.129713507455	-0.402538300185	1.51281525836	1.40518855421	1.91636439347	1.35383322335	1.47423538771	0.967356305444	0.998170211857	0.363468324453	0.508220800183	0.830796639001	1.44061284004	1.28279786242	-0.766954855019	-0.766954855019	0.980041751276	1.25126532141	1.16829887783	-0.320905798799	-0.118834768322	0.721935505146
D14480	D	0.169454088774	0.343128187183	-0.323821800074	0.334126093958	-1.16836837289	-0.272358869351	-0.537160039175	0.126696651904	-0.0897310698729	-0.480285712491	0.606831539943	1.36125382733	0.873020803813	1.10280715727	0.363468324453	0.227015054837	0.845214736195	0.255704490014	0.219635000985	0.606540329096	0.606540329096	0.617417550652	-0.151536417575	0.559923386383	1.35295848251	0.0384039190309	1.2728510765
D14485	D	-0.849505918771	-0.399136554956	-0.776489282824	-0.609952843937	-0.240887415358	-1.0025563489	-0.179616280784	-0.830942723166	-0.19040933027	-0.733035560343	-0.0474389000097	NA	NA	NA	NA	NA	-0.371450850166	-0.583465729549	0.317610158826	0.263166533068	0.263166533068	-0.363335353609	-0.519805660227	-0.210572593499	0.154623826572	-0.343461464541	0.355576650196
D14501	D	0.747123019549	0.525924728158	0.0986678504924	0.269564641927	-0.426383606865	2.25443630327	-0.0377568138921	-0.180028918106	0.584508189152	0.112446231587	0.0710510221865	0.609135034086	0.702716004408	-0.0414046354631	-0.254343885241	0.664446214265	0.022274111692	0.0992831610879	-1.23079453164	-0.0333835635028	-0.0333835635028	NA	NA	NA	NA	NA	0.997393290822
D14513	D	0.107388419113	0.154792357088	-0.179079975343	3.87442211106	0.0721374078079	0.129891877861	-0.664544050261	1.16628560675	1.4570531126	0.161654166567	0.26166524485	0.729757859418	0.557456028445	-0.152836187725	0.0679929198169	1.03938720806	0.124864418655	-0.147768551552	-0.953418915863	0.247558633248	0.247558633248	-0.348920829655	-0.6880607821	-0.782230901154	0.611132266929	0.869522695039	0.631034435872
